channel,campaign_type,product,conversions,spend,revenue,roas
Email Marketing,Flash Sale,Basic Plan,7037,2722.77,956308.26,351.23
Email Marketing,Product Launch,Starter Kit,7088,2660.27,924026.97,347.34
Email Marketing,Brand Awareness,Basic Plan,5554,2347.71,777206.27,331.05
Email Marketing,Retargeting,Add-on Service,8022,3323.47,1042250.49,313.6
Email Marketing,Flash Sale,Add-on Service,3896,1803.5,563428.16,312.41
Email Marketing,Flash Sale,Enterprise Plan,6556,2867.28,883535.15,308.14
Email Marketing,Seasonal Promotion,Starter Kit,4979,2348.35,708494.8,301.7
Email Marketing,Product Launch,Premium Plan,5471,2646.74,794764.73,300.28
Email Marketing,Seasonal Promotion,Enterprise Plan,6400,2857.65,854548.34,299.04
Email Marketing,Product Launch,Basic Plan,8071,3628.67,1082321.71,298.27
Email Marketing,Flash Sale,Premium Plan,7224,3232.94,956684.69,295.92
Email Marketing,Lead Generation,Add-on Service,8160,3638.27,1075058.77,295.49
Email Marketing,Brand Awareness,Enterprise Plan,9121,4192.84,1226753.75,292.58
Email Marketing,Lead Generation,Premium Plan,6603,3130.9,912987.83,291.61
Email Marketing,Retargeting,Enterprise Plan,4842,2138.05,621070.93,290.48
