date,channel,campaign_type,product,impressions,clicks,conversions,spend,revenue,ctr,conversion_rate,cac,roas,profit
2024-07-01,Google Ads,Flash Sale,Premium Plan,7531,253,28,1035.13,4455.7,3.36,11.07,36.97,4.3,3420.57
2024-07-01,Facebook Ads,Brand Awareness,Enterprise Plan,16928,430,35,691.94,3394.89,2.54,8.14,19.77,4.91,2702.95
2024-07-01,Instagram Ads,Lead Generation,Basic Plan,14887,477,35,540.66,3573.9,3.2,7.34,15.45,6.61,3033.24
2024-07-01,LinkedIn Ads,Lead Generation,Premium Plan,4692,85,10,1297.28,2252.89,1.81,11.76,129.73,1.74,955.61
2024-07-01,Email Marketing,Flash Sale,Add-on Service,20769,4091,395,235.19,54657.73,19.7,9.66,0.6,232.4,54422.54
2024-07-01,Organic Search,Brand Awareness,Add-on Service,24805,1518,200,0.0,25540.24,6.12,13.18,0.0,0.0,25540.24
2024-07-01,Display Ads,Retargeting,Premium Plan,29854,413,16,828.71,1769.66,1.38,3.87,51.79,2.14,940.95
2024-07-01,YouTube Ads,Brand Awareness,Premium Plan,17499,459,32,1082.71,3496.01,2.62,6.97,33.83,3.23,2413.3
2024-07-01,Twitter Ads,Lead Generation,Basic Plan,11603,244,8,413.72,661.74,2.1,3.28,51.72,1.6,248.02
2024-07-01,TikTok Ads,Seasonal Promotion,Add-on Service,21458,623,24,626.76,1997.83,2.9,3.85,26.12,3.19,1371.07
2024-07-01,Affiliate Marketing,Brand Awareness,Add-on Service,8244,415,33,441.56,3796.5,5.03,7.95,13.38,8.6,3354.94
2024-07-01,Referral,Lead Generation,Add-on Service,4557,452,70,72.75,8214.61,9.92,15.49,1.04,112.92,8141.86
2024-07-02,Google Ads,Retargeting,Basic Plan,11578,459,51,732.29,8982.39,3.96,11.11,14.36,12.27,8250.1
2024-07-02,Facebook Ads,Retargeting,Add-on Service,13296,489,27,915.59,2703.43,3.68,5.52,33.91,2.95,1787.84
2024-07-02,Instagram Ads,Product Launch,Premium Plan,13412,383,28,672.94,2663.26,2.86,7.31,24.03,3.96,1990.32
2024-07-02,LinkedIn Ads,Lead Generation,Starter Kit,3134,73,10,1174.33,2453.12,2.33,13.7,117.43,2.09,1278.79
2024-07-02,Email Marketing,Product Launch,Enterprise Plan,16300,3899,503,143.11,61830.88,23.92,12.9,0.28,432.05,61687.77
2024-07-02,Organic Search,Lead Generation,Basic Plan,25712,1394,198,0.0,24139.79,5.42,14.2,0.0,0.0,24139.79
2024-07-02,Display Ads,Product Launch,Premium Plan,22525,331,14,1025.72,1513.18,1.47,4.23,73.27,1.48,487.46
2024-07-02,YouTube Ads,Brand Awareness,Starter Kit,19721,562,44,1059.11,4492.45,2.85,7.83,24.07,4.24,3433.34
2024-07-02,Twitter Ads,Brand Awareness,Enterprise Plan,11787,365,16,635.17,1264.91,3.1,4.38,39.7,1.99,629.74
2024-07-02,TikTok Ads,Product Launch,Add-on Service,24393,942,45,626.29,4599.73,3.86,4.78,13.92,7.34,3973.44
